            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
  131.247.66.98|     10.119.4.5|56611|  445|  6|         3|       270|        |2016/03/15T14:43:27.412|    0.000|2016/03/15T14:43:27.412|Health|
  131.247.66.98|     10.119.4.5|61248|  445|  6|        10|      4241|        |2016/03/15T14:58:14.415|    0.192|2016/03/15T14:58:14.607|Health|
  131.247.66.98|     10.119.4.5|61248|  445|  6|         3|       270|        |2016/03/15T14:58:27.406|    0.000|2016/03/15T14:58:27.406|Health|
  131.247.66.98|     10.119.4.5|49249|  445|  6|        10|      4241|        |2016/03/15T15:13:14.467|    0.192|2016/03/15T15:13:14.659|Health|
  131.247.66.98|     10.119.4.5|49249|  445|  6|         3|       270|        |2016/03/15T15:13:27.458|    0.000|2016/03/15T15:13:27.458|Health|
  131.247.66.98|     10.119.4.5|53245|  445|  6|        10|      4241|        |2016/03/15T15:28:14.529|    0.192|2016/03/15T15:28:14.721|Health|
  131.247.66.98|     10.119.4.5|53245|  445|  6|         3|       270|        |2016/03/15T15:28:27.455|    0.000|2016/03/15T15:28:27.455|Health|
  131.247.66.98|     10.119.4.5|57436|  445|  6|        10|      4241|        |2016/03/15T15:43:14.586|    0.192|2016/03/15T15:43:14.778|Health|
  131.247.66.98|     10.119.4.5|57436|  445|  6|         3|       270|        |2016/03/15T15:43:27.513|    0.000|2016/03/15T15:43:27.513|Health|
  131.247.66.98|     10.119.4.5|61479|  445|  6|        10|      4241|        |2016/03/15T15:58:14.640|    0.192|2016/03/15T15:58:14.832|Health|
  131.247.66.98|     10.119.4.5|61479|  445|  6|         3|       270|        |2016/03/15T15:58:27.502|    0.000|2016/03/15T15:58:27.502|Health|
  131.247.66.98|     10.119.4.5|63246|  389|  6|         8|      2507|        |2016/03/15T16:03:31.618|    0.064|2016/03/15T16:03:31.682|Health|
  131.247.66.98|     10.119.4.5|63244|  389|  6|        12|      3689|        |2016/03/15T16:03:31.493|    0.640|2016/03/15T16:03:32.133|Health|
  131.247.66.98|     10.119.4.5|53671|  389| 17|         1|       205|        |2016/03/15T16:03:30.979|    0.000|2016/03/15T16:03:30.979|Health|
  131.247.66.98|     10.119.4.5|63241|  135|  6|         5|       552|        |2016/03/15T16:03:31.108|    0.192|2016/03/15T16:03:31.300|Health|
  131.247.66.98|     10.119.4.5|61198|  389| 17|         1|       204|        |2016/03/15T16:03:31.490|    0.000|2016/03/15T16:03:31.490|Health|
  131.247.66.98|     10.119.4.5|63247|  445|  6|        10|      4277|        |2016/03/15T16:03:31.620|    0.000|2016/03/15T16:03:31.620|Health|
  131.247.66.98|     10.119.4.5|63247|  445|  6|         3|       270|        |2016/03/15T16:03:45.507|    0.000|2016/03/15T16:03:45.507|Health|
  131.247.66.98|     10.119.4.5|63241|  135|  6|         2|        92|        |2016/03/15T16:03:42.627|    0.000|2016/03/15T16:03:42.627|Health|
  131.247.66.98|     10.119.4.5|49688|  445|  6|        10|      4241|        |2016/03/15T16:13:14.627|    0.256|2016/03/15T16:13:14.883|Health|
  131.247.66.98|     10.119.4.5|49688|  445|  6|         3|       270|        |2016/03/15T16:13:27.553|    0.000|2016/03/15T16:13:27.553|Health|
  131.247.66.98|     10.119.4.5|54561|  445|  6|        10|      4241|        |2016/03/15T16:28:14.691|    0.320|2016/03/15T16:28:15.011|Health|
  131.247.66.98|     10.119.4.5|54561|  445|  6|         3|       270|        |2016/03/15T16:28:27.555|    0.000|2016/03/15T16:28:27.555|Health|
  131.247.66.98|     10.119.4.5|58265|  445|  6|        10|      4241|        |2016/03/15T16:43:14.748|    0.256|2016/03/15T16:43:15.004|Health|
  131.247.66.98|     10.119.4.5|58265|  445|  6|         3|       270|        |2016/03/15T16:43:27.608|    0.000|2016/03/15T16:43:27.608|Health|
  131.247.66.98|     10.119.4.5|62321|  445|  6|        10|      4241|        |2016/03/15T16:58:14.803|    0.256|2016/03/15T16:58:15.059|Health|
  131.247.66.98|     10.119.4.5|62321|  445|  6|         3|       270|        |2016/03/15T16:58:26.642|    0.000|2016/03/15T16:58:26.642|Health|
  131.247.66.98|     10.119.4.5|50766|  445|  6|        10|      4241|        |2016/03/15T17:13:14.845|    0.256|2016/03/15T17:13:15.101|Health|
  131.247.66.98|     10.119.4.5|50766|  445|  6|         3|       270|        |2016/03/15T17:13:26.619|    0.000|2016/03/15T17:13:26.619|Health|
  131.247.66.98|     10.119.4.5|54523|  445|  6|        10|      4241|        |2016/03/15T17:28:14.912|    0.192|2016/03/15T17:28:15.104|Health|
  131.247.66.98|     10.119.4.5|54523|  445|  6|         3|       270|        |2016/03/15T17:28:26.689|    0.000|2016/03/15T17:28:26.689|Health|
  131.247.66.98|     10.119.4.5|58793|  445|  6|        10|      4241|        |2016/03/15T17:43:14.970|    0.192|2016/03/15T17:43:15.162|Health|
  131.247.66.98|     10.119.4.5|58793|  445|  6|         3|       270|        |2016/03/15T17:43:26.679|    0.000|2016/03/15T17:43:26.679|Health|
  131.247.66.98|     10.119.4.5|59703|  389|  6|        12|      3689|        |2016/03/15T17:47:32.880|    0.640|2016/03/15T17:47:33.520|Health|
  131.247.66.98|     10.119.4.5|59704|  389|  6|         8|      2507|        |2016/03/15T17:47:33.008|    0.000|2016/03/15T17:47:33.008|Health|
  131.247.66.98|     10.119.4.5|59699|  135|  6|         5|       552|        |2016/03/15T17:47:32.497|    0.192|2016/03/15T17:47:32.689|Health|
  131.247.66.98|     10.119.4.5|62436|  389| 17|         1|       204|        |2016/03/15T17:47:32.880|    0.000|2016/03/15T17:47:32.880|Health|
  131.247.66.98|     10.119.4.5|59705|  445|  6|        10|      4277|        |2016/03/15T17:47:33.009|    0.000|2016/03/15T17:47:33.009|Health|
  131.247.66.98|     10.119.4.5|62002|  389| 17|         1|       205|        |2016/03/15T17:47:32.366|    0.000|2016/03/15T17:47:32.366|Health|
  131.247.66.98|     10.119.4.5|59705|  445|  6|         3|       270|        |2016/03/15T17:47:44.718|    0.000|2016/03/15T17:47:44.718|Health|
  131.247.66.98|     10.119.4.5|59699|  135|  6|         2|        92|        |2016/03/15T17:47:45.231|    0.000|2016/03/15T17:47:45.231|Health|
  131.247.66.98|     10.119.4.5|62744|  445|  6|        10|      4241|        |2016/03/15T17:58:15.030|    0.192|2016/03/15T17:58:15.222|Health|
  131.247.66.98|     10.119.4.5|62744|  445|  6|         3|       270|        |2016/03/15T17:58:26.740|    0.000|2016/03/15T17:58:26.740|Health|
  131.247.66.98|     10.119.4.5|52210|  445|  6|        10|      4241|        |2016/03/15T18:13:15.081|    0.192|2016/03/15T18:13:15.273|Health|
  131.247.66.98|     10.119.4.5|52210|  445|  6|         3|       270|        |2016/03/15T18:13:26.793|    0.000|2016/03/15T18:13:26.793|Health|
  131.247.66.98|     10.119.4.5|55718|  445|  6|        10|      4241|        |2016/03/15T18:28:15.139|    0.192|2016/03/15T18:28:15.331|Health|
  131.247.66.98|     10.119.4.5|55718|  445|  6|         3|       270|        |2016/03/15T18:28:26.788|    0.000|2016/03/15T18:28:26.788|Health|
  131.247.66.98|     10.119.4.5|59622|  389|  6|        13|      3383|        |2016/03/15T18:42:28.157|    0.896|2016/03/15T18:42:29.053|Health|
  131.247.66.98|     10.119.4.5|59631|  389|  6|         9|      2524|        |2016/03/15T18:42:28.796|    0.000|2016/03/15T18:42:28.796|Health|
  131.247.66.98|     10.119.4.5|59630|  389|  6|         7|      2268|        |2016/03/15T18:42:28.796|    0.000|2016/03/15T18:42:28.796|Health|
  131.247.66.98|     10.119.4.5|59633|  389|  6|        25|      4120|        |2016/03/15T18:42:28.989|    0.064|2016/03/15T18:42:29.053|Health|
  131.247.66.98|     10.119.4.5|59625|  389|  6|        63|     10678|        |2016/03/15T18:42:28.412|    0.576|2016/03/15T18:42:28.988|Health|
  131.247.66.98|     10.119.4.5|59632|  389|  6|         7|      2349|        |2016/03/15T18:42:28.797|    0.064|2016/03/15T18:42:28.861|Health|
  131.247.66.98|     10.119.4.5|51059|  389| 17|         1|       204|        |2016/03/15T18:42:28.285|    0.000|2016/03/15T18:42:28.285|Health|
  131.247.66.98|     10.119.4.5|51060|  389| 17|         1|       204|        |2016/03/15T18:42:28.414|    0.000|2016/03/15T18:42:28.414|Health|
  131.247.66.98|     10.119.4.5|59837|  445|  6|        10|      4241|        |2016/03/15T18:43:15.196|    0.192|2016/03/15T18:43:15.388|Health|
  131.247.66.98|     10.119.4.5|59837|  445|  6|         3|       270|        |2016/03/15T18:43:26.843|    0.000|2016/03/15T18:43:26.843|Health|
  131.247.66.98|     10.119.4.5|64540|  445|  6|        10|      4241|        |2016/03/15T18:58:15.193|    0.256|2016/03/15T18:58:15.449|Health|
  131.247.66.98|     10.119.4.5|64540|  445|  6|         3|       270|        |2016/03/15T18:58:26.841|    0.000|2016/03/15T18:58:26.841|Health|
  131.247.66.98|     10.119.4.5|53111|  445|  6|        13|      4511|        |2016/03/15T19:13:15.245|   10.624|2016/03/15T19:13:25.869|Health|
  131.247.66.98|     10.119.4.5|56653|  389|  6|        12|      3689|        |2016/03/15T19:24:34.068|    0.704|2016/03/15T19:24:34.772|Health|
  131.247.66.98|     10.119.4.5|56658|  389|  6|         8|      2507|        |2016/03/15T19:24:34.195|    0.064|2016/03/15T19:24:34.259|Health|
  131.247.66.98|     10.119.4.5|64095|  389| 17|         1|       205|        |2016/03/15T19:24:33.619|    0.000|2016/03/15T19:24:33.619|Health|
  131.247.66.98|     10.119.4.5|56659|  445|  6|        10|      4277|        |2016/03/15T19:24:34.193|    0.064|2016/03/15T19:24:34.257|Health|
  131.247.66.98|     10.119.4.5|56648|  135|  6|         5|       552|        |2016/03/15T19:24:33.683|    0.192|2016/03/15T19:24:33.875|Health|
  131.247.66.98|     10.119.4.5|53714|  389| 17|         1|       204|        |2016/03/15T19:24:34.132|    0.000|2016/03/15T19:24:34.132|Health|
  131.247.66.98|     10.119.4.5|56659|  445|  6|         3|       270|        |2016/03/15T19:24:49.746|    0.000|2016/03/15T19:24:49.746|Health|
  131.247.66.98|     10.119.4.5|56648|  135|  6|         2|        92|        |2016/03/15T19:24:47.440|    0.000|2016/03/15T19:24:47.440|Health|
  131.247.66.98|     10.119.4.5|57524|  445|  6|        10|      4241|        |2016/03/15T19:28:15.304|    0.192|2016/03/15T19:28:15.496|Health|
  131.247.66.98|     10.119.4.5|57524|  445|  6|         3|       270|        |2016/03/15T19:28:25.924|    0.000|2016/03/15T19:28:25.924|Health|
  131.247.66.98|     10.119.4.5|61282|  445|  6|        10|      4241|        |2016/03/15T19:43:15.359|    0.192|2016/03/15T19:43:15.551|Health|
  131.247.66.98|     10.119.4.5|61282|  445|  6|         3|       270|        |2016/03/15T19:43:25.916|    0.000|2016/03/15T19:43:25.916|Health|
  131.247.66.98|     10.119.4.5|49797|  445|  6|        13|      4511|        |2016/03/15T19:58:15.413|   10.560|2016/03/15T19:58:25.973|Health|
  131.247.66.98|     10.119.4.5|54812|  445|  6|        10|      4241|        |2016/03/15T20:13:15.470|    0.192|2016/03/15T20:13:15.662|Health|
  131.247.66.98|     10.119.4.5|54812|  445|  6|         3|       270|        |2016/03/15T20:13:25.965|    0.000|2016/03/15T20:13:25.965|Health|
  131.247.66.98|     10.119.4.5|58767|  445|  6|        10|      4241|        |2016/03/15T20:28:15.525|    0.192|2016/03/15T20:28:15.717|Health|
  131.247.66.98|     10.119.4.5|58767|  445|  6|         3|       270|        |2016/03/15T20:28:26.020|    0.000|2016/03/15T20:28:26.020|Health|
  131.247.66.98|     10.119.4.5|62767|  445|  6|        13|      4511|        |2016/03/15T20:43:15.515|   10.496|2016/03/15T20:43:26.011|Health|
  131.247.66.98|     10.119.4.5|49931|  445|  6|        13|      4511|        |2016/03/15T20:58:15.571|   10.496|2016/03/15T20:58:26.067|Health|
  131.247.66.98|     10.119.4.5|53731|  389|  6|        12|      3689|        |2016/03/15T21:09:35.603|    0.640|2016/03/15T21:09:36.243|Health|
  131.247.66.98|     10.119.4.5|53734|  389|  6|         8|      2507|        |2016/03/15T21:09:35.667|    0.064|2016/03/15T21:09:35.731|Health|
  131.247.66.98|     10.119.4.5|62883|  389| 17|         1|       205|        |2016/03/15T21:09:35.091|    0.000|2016/03/15T21:09:35.091|Health|
  131.247.66.98|     10.119.4.5|53729|  135|  6|         5|       552|        |2016/03/15T21:09:35.158|    0.256|2016/03/15T21:09:35.414|Health|
  131.247.66.98|     10.119.4.5|53735|  445|  6|        10|      4277|        |2016/03/15T21:09:35.668|    0.064|2016/03/15T21:09:35.732|Health|
  131.247.66.98|     10.119.4.5|51206|  389| 17|         1|       204|        |2016/03/15T21:09:35.605|    0.000|2016/03/15T21:09:35.605|Health|
  131.247.66.98|     10.119.4.5|53735|  445|  6|         3|       270|        |2016/03/15T21:09:50.069|    0.000|2016/03/15T21:09:50.069|Health|
  131.247.66.98|     10.119.4.5|53729|  135|  6|         2|        92|        |2016/03/15T21:09:47.635|    0.000|2016/03/15T21:09:47.635|Health|
  131.247.66.98|     10.119.4.5|54741|  445|  6|        10|      4241|        |2016/03/15T21:13:15.630|    0.192|2016/03/15T21:13:15.822|Health|
  131.247.66.98|     10.119.4.5|54741|  445|  6|         3|       270|        |2016/03/15T21:13:26.125|    0.000|2016/03/15T21:13:26.125|Health|
  131.247.66.98|     10.119.4.5|58857|  445|  6|        10|      4241|        |2016/03/15T21:28:15.687|    0.192|2016/03/15T21:28:15.879|Health|
  131.247.66.98|     10.119.4.5|58857|  445|  6|         3|       270|        |2016/03/15T21:28:31.112|    0.000|2016/03/15T21:28:31.112|Health|
  131.247.66.98|     10.119.4.5|62863|  445|  6|        10|      4241|        |2016/03/15T21:43:15.737|    0.192|2016/03/15T21:43:15.929|Health|
  131.247.66.98|     10.119.4.5|62863|  445|  6|         3|       270|        |2016/03/15T21:43:31.163|    0.000|2016/03/15T21:43:31.163|Health|
  131.247.66.98|     10.119.4.5|51346|  445|  6|        10|      4241|        |2016/03/15T21:58:15.787|    0.192|2016/03/15T21:58:15.979|Health|
  131.247.66.98|     10.119.4.5|51346|  445|  6|         3|       270|        |2016/03/15T21:58:31.160|    0.000|2016/03/15T21:58:31.160|Health|
  131.247.66.98|     10.119.4.5|55855|  445|  6|        10|      4241|        |2016/03/15T22:13:15.853|    0.192|2016/03/15T22:13:16.045|Health|
  131.247.66.98|     10.119.4.5|55855|  445|  6|         3|       270|        |2016/03/15T22:13:31.212|    0.000|2016/03/15T22:13:31.212|Health|
  131.247.66.98|     10.119.4.5|59757|  445|  6|        10|      4241|        |2016/03/15T22:28:15.910|    0.192|2016/03/15T22:28:16.102|Health|
  131.247.66.98|     10.119.4.5|59757|  445|  6|         3|       270|        |2016/03/15T22:28:31.206|    0.000|2016/03/15T22:28:31.206|Health|
  131.247.66.98|     10.119.4.5|63656|  445|  6|        10|      4241|        |2016/03/15T22:43:15.902|    0.256|2016/03/15T22:43:16.158|Health|
  131.247.66.98|     10.119.4.5|63656|  445|  6|         3|       270|        |2016/03/15T22:43:31.262|    0.000|2016/03/15T22:43:31.262|Health|
  131.247.66.98|     10.119.4.5|51457|  445|  6|        10|      4241|        |2016/03/15T22:58:15.958|    0.256|2016/03/15T22:58:16.214|Health|
  131.247.66.98|     10.119.4.5|51457|  445|  6|         3|       270|        |2016/03/15T22:58:31.255|    0.000|2016/03/15T22:58:31.255|Health|
  131.247.66.98|     10.119.4.5|52188|  389|  6|        12|      3689|        |2016/03/15T23:00:36.946|    0.704|2016/03/15T23:00:37.650|Health|
  131.247.66.98|     10.119.4.5|52191|  445|  6|        10|      4277|        |2016/03/15T23:00:37.075|    0.000|2016/03/15T23:00:37.075|Health|
  131.247.66.98|     10.119.4.5|52191|  445|  6|         3|       270|        |2016/03/15T23:00:49.298|    0.000|2016/03/15T23:00:49.298|Health|
